filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,ExtracellularBackground,RawMitoIntDen,RawMitoMean,MitoVolume_um3,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY027 25C 3 03 m-25.csv,201000000,925.64,258.42,GTY027 25C 3,668.45,3927013.48,1213.4910453955902,3.855,55818459.561602406,1764620.1646090532,0.03161355899944859,545.0410453955901,-25,25
GTY027 25C 3 03 m-35.csv,201000000,925.64,258.42,GTY027 25C 3,668.45,4502337.01,1216.3288550658792,4.402,55818459.561602406,2025499.890820526,0.036287276767019025,547.8788550658792,-35,25
GTY027 25C 3 03 m-50.csv,201000000,925.64,258.42,GTY027 25C 3,668.45,5677085.9799999995,1225.6158360536815,5.514,55818459.561602406,2580173.3602082804,0.046224374167129205,557.1658360536815,-50,25
GTY027 25C 3 04 m-25.csv,174000000,882.28,235.44,GTY027 25C 3,668.45,2901432.7800000003,1255.5094834485267,2.749,42281124.71655327,1355359.4692197863,0.032055899134801315,587.0594834485266,-25,25
GTY027 25C 3 04 m-35.csv,174000000,882.28,235.44,GTY027 25C 3,668.45,3262510.76,1248.0807793457343,3.118,42281124.71655327,1517837.2134038794,0.03589869530622109,579.6307793457343,-35,25
GTY027 25C 3 04 m-50.csv,174000000,882.28,235.44,GTY027 25C 3,668.45,4015402.44,1235.904275362319,3.864,42281124.71655327,1841474.1916519694,0.04355310328182976,567.4542753623189,-50,25
GTY027 25C 3 05 m-25.csv,217000000,898.95,287.15,GTY027 25C 3,668.45,4916340.77,1290.3817434428038,4.537,55587532.543881744,2369786.109011506,0.04263161181224867,621.9317434428037,-25,25
GTY027 25C 3 05 m-35.csv,217000000,898.95,287.15,GTY027 25C 3,668.45,5442313.93,1283.851285204284,5.042,55587532.543881744,2605906.844713194,0.04687934012282424,615.401285204284,-35,25
GTY027 25C 3 05 m-50.csv,217000000,898.95,287.15,GTY027 25C 3,668.45,6516554.75,1271.7704883644706,6.102,55587532.543881744,3091846.4936591913,0.055621222100808936,603.3204883644705,-50,25
GTY027 25C 5 01 m-25.csv,200000000,941.51,253.32,GTY027 25C 5,681.14,3965365.71,1333.7130716444042,3.5411,55393405.89569161,1940729.406231628,0.03503538688135755,652.5730716444042,-25,25
GTY027 25C 5 01 m-35.csv,200000000,941.51,253.32,GTY027 25C 5,681.14,4678341.63,1323.079682238558,4.2170000000000005,55393405.89569161,2273502.6790963295,0.04104283970870905,641.939682238558,-35,25
GTY027 25C 5 01 m-50.csv,200000000,941.51,253.32,GTY027 25C 5,681.14,6113448.94,1302.8430419204587,5.582,55393405.89569161,2914543.02511128,0.05261534253011092,621.7030419204588,-50,25
GTY027 25C 5 02 m-25.csv,219000000,1023.51,254.97,GTY027 25C 5,681.14,4783751.84,1563.2113167797402,3.6407,73313243.38624339,2697032.873939699,0.03678779916652514,882.0713167797402,-25,25
GTY027 25C 5 02 m-35.csv,219000000,1023.51,254.97,GTY027 25C 5,681.14,5649407.2,1552.0562680065457,4.3387,73313243.38624339,3173464.694717393,0.043286377032841335,870.9162680065457,-35,25
GTY027 25C 5 02 m-50.csv,219000000,1023.51,254.97,GTY027 25C 5,681.14,7538861.04,1528.2631432947585,5.8759999999999994,73313243.38624339,4180478.3656672547,0.05702214460275381,847.1231432947585,-50,25
GTY027 25C 5 03 m-25.csv,184000000,907.29,241.87,GTY027 25C 5,681.14,3637417.75,1244.8083333333334,3.4799999999999995,45938439.99328126,1647405.559754766,0.035861155929450536,563.6683333333334,-25,25
GTY027 25C 5 03 m-35.csv,184000000,907.29,241.87,GTY027 25C 5,681.14,4239289.5,1237.7673039215686,4.08,45938439.99328126,1907314.5208700763,0.04151892230448032,556.6273039215686,-35,25
GTY027 25C 5 03 m-50.csv,184000000,907.29,241.87,GTY027 25C 5,681.14,5515177.5,1226.9568971962617,5.35,45938439.99328126,2452440.077265474,0.05338535826693628,545.8168971962617,-50,25
GTY027 25C 5 04 m-25.csv,223000000,935.89,283.85,GTY027 25C 5,681.14,4749633.64,1312.2435343228199,4.312,60729644.326866545,2285477.8197698826,0.03763364408111306,631.1035343228199,-25,25
GTY027 25C 5 04 m-35.csv,223000000,935.89,283.85,GTY027 25C 5,681.14,5398461.31,1300.6155589246007,4.947,60729644.326866545,2573734.4335264964,0.04238019935822161,619.4755589246007,-35,25
GTY027 25C 5 04 m-50.csv,223000000,935.89,283.85,GTY027 25C 5,681.14,6987105.77,1314.7907872273156,6.3260000000000005,60729644.326866545,3366485.9998320304,0.05543398182463438,633.6507872273156,-50,25
GTY027 25C 5 05 m-25.csv,180000000,908.31,236.29,GTY027 25C 5,681.14,5455237.47,1280.2864726770565,5.069,45081044.17569496,2550662.1903082216,0.05657948339367411,599.1464726770565,-25,25
GTY027 25C 5 05 m-35.csv,180000000,908.31,236.29,GTY027 25C 5,681.14,6250289.06,1270.1255900409278,5.864,45081044.17569496,2900656.336608718,0.06434314886993192,588.9855900409278,-35,25
GTY027 25C 5 05 m-50.csv,180000000,908.31,236.29,GTY027 25C 5,681.14,7797619.94,1252.8227277635308,7.409,45081044.17569496,3557232.997396489,0.07890751118214648,571.6827277635308,-50,25
GTY027 25C 6 01 m-25.csv,154000000,936.25,195.41,GTY027 25C 6,678.12,4279707.88,1418.496727069975,3.5869999999999997,42362629.79759805,2230394.994541026,0.052650059856942336,740.3767270699749,-25,25
GTY027 25C 6 01 m-35.csv,154000000,936.25,195.41,GTY027 25C 6,678.12,4962779.92,1405.5644563407088,4.203,42362629.79759805,2567774.4604014438,0.0606141420556246,727.4444563407088,-35,25
