filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 I 25C 04 m-50.csv,Mito 1,2,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.13,793.8,695.19,86203.23,39.08,NA,NA,NA,NA,NA,66.05,15.86,0.934,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-50.csv,Mito 2,3,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.16,892.78,739.72,252244.38,62.83,NA,NA,NA,NA,NA,64.84,16.88,0.958,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-50.csv,Mito 9,10,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.44,1105,751.56,432145.09,139.55,NA,NA,NA,NA,NA,69.29,16.41,2.9,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 04 m-50.csv,Mito 14,15,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.54,1376.02,752.84,3060285,136.71,NA,NA,NA,NA,NA,65.54,17.27,3.02,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-25.csv,ROIs 1,1,203.89,452,787,589.42,101000000,38.59,227,2455,433.89,74296049,173.57,345.27,1709.28,588.27,101000000,82.25,0.93,29718.63,464.48,79534688,1010.41,NA,NA,NA,GTY030 I 25C,ROIs,Object,4,NA
GTY030 I 25C 05 m-25.csv,Mito 5,6,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.12,792.54,705.07,86723.84,44.43,NA,NA,NA,NA,NA,55.09,3.15,1.06,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-25.csv,Mito 11,12,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.93,1709.28,726.57,1264960.75,150.92,NA,NA,NA,NA,NA,53.42,4.09,2.66,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-25.csv,Mito 20,21,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.56,1229.05,767.73,127443.72,147.53,NA,NA,NA,NA,NA,55.88,2.99,2.77,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-25.csv,Mito 22,23,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.55,1295.74,716.9,554162.06,124.22,NA,NA,NA,NA,NA,56.32,6.87,2.9,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-35.csv,ROIs 1,1,203.89,452,787,589.42,101000000,38.59,227,2455,433.89,74296049,173.57,345.27,1709.28,588.27,101000000,82.25,0.93,29718.63,464.48,79534688,1010.41,NA,NA,NA,GTY030 I 25C,ROIs,Object,4,NA
GTY030 I 25C 05 m-35.csv,Mito 5,6,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.31,792.54,700.84,103724.1,48.16,NA,NA,NA,NA,NA,55.09,3.15,1.06,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-35.csv,Mito 12,13,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.56,1229.05,760.84,139233.27,148.81,NA,NA,NA,NA,NA,55.88,2.99,2.76,GTY030 I 25C,Mito,Object,NA,1
