filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 I 25C 12 03 m-50.csv,GTY030 I 25C 12,276.91,614.73,144.2,538.55,769.66738456673,3.162,237.1506989247312,231.11738456673004,76.18000000000006,3.0338328244516912,-50,25
GTY030 I 25C 12 04 m-25.csv,GTY030 I 25C 12,205.99,616.76,351.17,538.55,832.6620327789634,2.4833,235.7144871743245,294.11203277896345,78.21000000000004,3.7605425492771167,-25,25
GTY030 I 25C 12 04 m-35.csv,GTY030 I 25C 12,205.99,616.76,351.17,538.55,818.9960314977424,2.8129000000000004,237.21436346830671,280.4460314977424,78.21000000000004,3.5858078442365717,-35,25
GTY030 I 25C 12 04 m-50.csv,GTY030 I 25C 12,205.99,616.76,351.17,538.55,798.4307142857143,3.3600000000000003,240.01928571428573,259.88071428571436,78.21000000000004,3.322857873490784,-50,25
GTY030 I 25C 12 05 m-25.csv,GTY030 I 25C 12,172.67,604.44,277.64,538.55,745.9955600506723,2.4471,314.47239671447835,207.44556005067238,65.8900000000001,3.1483618159154965,-25,25
GTY030 I 25C 12 05 m-35.csv,GTY030 I 25C 12,172.67,604.44,277.64,538.55,745.0727959255356,2.847,324.7430136986302,206.52279592553566,65.8900000000001,3.134357200266131,-35,25
GTY030 I 25C 12 05 m-50.csv,GTY030 I 25C 12,172.67,604.44,277.64,538.55,743.4731092206366,3.644,336.49795554335896,204.92310922063666,65.8900000000001,3.1100790593509844,-50,25
GTY030 I 25C 13 01 m-25.csv,GTY030 I 25C 13,133.42,605.49,468.93,524.24,1031.7054036287143,3.803,1367.4422640021032,507.4654036287143,81.25,6.2457280446610985,-25,25
GTY030 I 25C 13 01 m-35.csv,GTY030 I 25C 13,133.42,605.49,468.93,524.24,1021.5913864778437,4.378,1345.020714938328,497.3513864778437,81.25,6.12124783357346,-35,25
GTY030 I 25C 13 01 m-50.csv,GTY030 I 25C 13,133.42,605.49,468.93,524.24,1023.511475770925,5.448,1442.0822540381791,499.271475770925,81.25,6.144879701796,-50,25
GTY030 I 25C 13 02 m-25.csv,GTY030 I 25C 13,84.54,615.33,595.89,524.24,999.4604904639673,3.6231,1389.4520689464823,475.2204904639673,91.09000000000003,5.217043478581261,-25,25
GTY030 I 25C 13 02 m-35.csv,GTY030 I 25C 13,84.54,615.33,595.89,524.24,1000.3179404945906,4.1408,1424.8033423493046,476.0779404945906,91.09000000000003,5.226456696614233,-35,25
GTY030 I 25C 13 02 m-50.csv,GTY030 I 25C 13,84.54,615.33,595.89,524.24,988.7836683225066,5.234,1541.8980359189911,464.5436683225066,91.09000000000003,5.099831686491453,-50,25
GTY030 I 25C 13 03 m-25.csv,GTY030 I 25C 13,266.6,586.67,190.14,524.24,758.2348343140291,3.229,278.05912047073394,233.99483431402905,62.42999999999995,3.74811523809113,-25,25
GTY030 I 25C 13 03 m-35.csv,GTY030 I 25C 13,266.6,586.67,190.14,524.24,752.6475917492633,3.733,267.16611036699703,228.40759174926325,62.42999999999995,3.6586191214041874,-35,25
GTY030 I 25C 13 03 m-50.csv,GTY030 I 25C 13,266.6,586.67,190.14,524.24,749.7729872036921,4.7669999999999995,264.10112859240616,225.53298720369207,62.42999999999995,3.612573878002439,-50,25
GTY030 I 25C 13 04 m-25.csv,GTY030 I 25C 13,256.06,581.1,117.49,524.24,738.304986397985,4.9624999999999995,175.68284735516374,214.06498639798497,56.860000000000014,3.7647728877591438,-25,25
GTY030 I 25C 13 04 m-35.csv,GTY030 I 25C 13,256.06,581.1,117.49,524.24,734.654753746947,5.6913,179.84500026356017,210.41475374694699,56.860000000000014,3.700576041979369,-35,25
GTY030 I 25C 13 04 m-50.csv,GTY030 I 25C 13,256.06,581.1,117.49,524.24,724.0157100633357,7.1049999999999995,182.95586769880367,199.77571006333574,56.860000000000014,3.5134665857076275,-50,25
GTY030 I 25C 13 05 m-25.csv,GTY030 I 25C 13,263.45,586.21,199.84,524.24,720.298334564254,2.708,131.05081240768092,196.05833456425398,61.97000000000003,3.1637620552566386,-25,25
GTY030 I 25C 13 05 m-35.csv,GTY030 I 25C 13,263.45,586.21,199.84,524.24,718.8751326002587,3.092,131.5414003880983,194.63513260025866,61.97000000000003,3.1407960722972175,-35,25
GTY030 I 25C 13 05 m-50.csv,GTY030 I 25C 13,263.45,586.21,199.84,524.24,710.201949064449,3.848,134.00830041580042,185.96194906444896,61.97000000000003,3.0008382937622864,-50,25
GTY030 I 25C 13 06 m-25.csv,GTY030 I 25C 13,235.11,581.4,158.86,524.24,930.9139703903095,3.715,304.26044414535664,406.6739703903095,57.15999999999997,7.114660083805278,-25,25
GTY030 I 25C 13 06 m-35.csv,GTY030 I 25C 13,235.11,581.4,158.86,524.24,911.4013447432765,4.09,303.8423227383863,387.16134474327646,57.15999999999997,6.773291545543679,-35,25
GTY030 I 25C 13 06 m-50.csv,GTY030 I 25C 13,235.11,581.4,158.86,524.24,869.9941872614024,4.977,295.7752863170585,345.7541872614024,57.15999999999997,6.048883611990949,-50,25
GTY030 I 25C 14 01 m-25.csv,GTY030 I 25C 14,0.707,593.45,625.4,518.28,792.604024902273,6.907,549.1252425076009,274.324024902273,75.17000000000007,3.649381733434518,-25,25
GTY030 I 25C 14 01 m-35.csv,GTY030 I 25C 14,0.707,593.45,625.4,518.28,791.9910895428928,7.984999999999999,599.5644921728241,273.71108954289286,75.17000000000007,3.6412277443513714,-35,25
GTY030 I 25C 14 01 m-50.csv,GTY030 I 25C 14,0.707,593.45,625.4,518.28,796.653533737454,10.063,918.5537006856802,278.37353373745407,75.17000000000007,3.7032530761933455,-50,25
